trace,l1_fraction,l2_multiplier,policy,seed,window,selector,arrival_rejection,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi3,0,end,lfu,True,8,22496.75,21694.5,29491.199999999997,33792,0.0,1.0,0,31023.625,-0.034522119276666215
conversation_trace,0.0025,1,pi3,0,end,lru,True,8,11648.0,12800.0,17920.0,17920,0.125,0.875,0,31023.625,0.2326428220073098
conversation_trace,0.0025,1,pi3,0,end,next_use,True,8,11648.0,12800.0,17920.0,17920,0.125,0.875,0,31023.625,0.2616686350324176
conversation_trace,0.0025,1,pi3,1,600,count,False,1,0.0,0,0.0,0,1.0,0.0,0,49664.0,0.34812320947747466
conversation_trace,0.0025,1,pi3,1,600,count,True,7,19090.285714285714,24195,30284.2,31363,0.0,1.0,0,33480.71428571428,0.00023104220512977367
conversation_trace,0.0025,1,pi3,1,600,learned,False,1,17920.0,17920,17920.0,17920,0.0,1.0,0,49664.0,-0.0541878495981259
conversation_trace,0.0025,1,pi3,1,600,learned,True,7,28415.14285714286,33280,37273.6,37888,0.0,1.0,0,33480.71428571428,-0.16720326467747992
conversation_trace,0.0025,1,pi3,1,600,lfu,False,1,12288.0,12288,12288.0,12288,0.0,1.0,0,49664.0,0.5568728896578694
conversation_trace,0.0025,1,pi3,1,600,lfu,True,7,28122.571428571428,33280,36273.4,37888,0.0,1.0,0,33480.71428571428,-0.04366913571348641
conversation_trace,0.0025,1,pi3,1,600,lru,False,1,25600.0,25600,25600.0,25600,0.0,1.0,0,49664.0,-0.7008427534711901
conversation_trace,0.0025,1,pi3,1,600,lru,True,7,19456.0,26493,31308.2,33923,0.0,1.0,0,33480.71428571428,0.019682337777378538
conversation_trace,0.0025,1,pi3,1,600,next_use,False,1,0.0,0,0.0,0,1.0,0.0,0,49664.0,0.09951169175599997
conversation_trace,0.0025,1,pi3,1,600,next_use,True,7,19090.285714285714,24195,30284.2,31363,0.0,1.0,0,33480.71428571428,0.07586343994933678
conversation_trace,0.0025,1,pi3,1,end,count,False,1,22397.0,22397,22397.0,22397,0.0,1.0,0,66048.0,0.14873628518910134
conversation_trace,0.0025,1,pi3,1,end,count,True,7,24722.285714285714,28029,34639.8,41091,0.0,1.0,0,39259.0,0.004571978372469942
conversation_trace,0.0025,1,pi3,1,end,learned,False,1,41341.0,41341,41341.0,41341,0.0,1.0,0,66048.0,0.1954526746389018
conversation_trace,0.0025,1,pi3,1,end,learned,True,7,32803.71428571428,30720,53350.40000000001,65024,0.0,1.0,0,39259.0,-0.14746985062454085
conversation_trace,0.0025,1,pi3,1,end,lfu,False,1,13693.0,13693,13693.0,13693,0.0,1.0,0,66048.0,0.5335090249416174
conversation_trace,0.0025,1,pi3,1,end,lfu,True,7,31194.571428571428,30720,48844.8,53760,0.0,1.0,0,39259.0,-0.0678269693290969
conversation_trace,0.0025,1,pi3,1,end,lru,False,1,46080.0,46080,46080.0,46080,0.0,1.0,0,66048.0,-0.6322093850259801
conversation_trace,0.0025,1,pi3,1,end,lru,True,7,23771.428571428572,27779,33970.600000000006,42115,0.0,1.0,0,39259.0,0.08688106818961722
conversation_trace,0.0025,1,pi3,1,end,next_use,False,1,22397.0,22397,22397.0,22397,0.0,1.0,0,66048.0,-0.1873391476512282
conversation_trace,0.0025,1,pi3,1,end,next_use,True,7,24722.285714285714,28029,34639.8,41091,0.0,1.0,0,39259.0,0.10021683840966247
conversation_trace,0.0025,1,pi3,2,600,count,False,1,7680.0,7680,7680.0,7680,0.0,1.0,0,15360.0,0.056127667255134975
conversation_trace,0.0025,1,pi3,2,600,count,True,7,14829.285714285714,11264,32382.20000000001,48128,0.14285714285714285,0.8571428571428571,0,38765.71428571428,-0.08310598518485844
conversation_trace,0.0025,1,pi3,2,600,learned,False,1,13824.0,13824,13824.0,13824,0.0,1.0,0,15360.0,-0.24015069708260342
conversation_trace,0.0025,1,pi3,2,600,learned,True,7,25581.285714285714,24064,37399.8,38400,0.0,1.0,0,38765.71428571428,-0.09032313963977866
conversation_trace,0.0025,1,pi3,2,600,lfu,False,1,7168.0,7168,7168.0,7168,0.0,1.0,0,15360.0,0.1667729950753198
conversation_trace,0.0025,1,pi3,2,600,lfu,True,7,24996.14285714286,24064,41291.0,48128,0.0,1.0,0,38765.71428571428,-0.39499326245267274
conversation_trace,0.0025,1,pi3,2,600,lru,False,1,7680.0,7680,7680.0,7680,0.0,1.0,0,15360.0,-0.48886138613861385
conversation_trace,0.0025,1,pi3,2,600,lru,True,7,14390.42857142857,13824,27648.0,30720,0.14285714285714285,0.8571428571428571,0,38765.71428571428,0.33683145768958955
conversation_trace,0.0025,1,pi3,2,600,next_use,False,1,7680.0,7680,7680.0,7680,0.0,1.0,0,15360.0,-0.059425739572147945
conversation_trace,0.0025,1,pi3,2,600,next_use,True,7,14829.285714285714,11264,32382.20000000001,48128,0.14285714285714285,0.8571428571428571,0,38765.71428571428,-0.094318393054851
conversation_trace,0.0025,1,pi3,2,end,count,False,1,7168.0,7168,7168.0,7168,0.0,1.0,0,16896.0,0.1989964781448672
conversation_trace,0.0025,1,pi3,2,end,count,True,7,19658.428571428572,14217,38371.40000000001,60797,0.14285714285714285,0.8571428571428571,0,47451.0,0.0838332349684965
conversation_trace,0.0025,1,pi3,2,end,learned,False,1,14848.0,14848,14848.0,14848,0.0,1.0,0,16896.0,-0.42338854364684153
conversation_trace,0.0025,1,pi3,2,end,learned,True,7,38124.42857142857,33280,51762.00000000001,60285,0.0,1.0,0,47451.0,-0.110378001541707
conversation_trace,0.0025,1,pi3,2,end,lfu,False,1,6144.0,6144,6144.0,6144,0.0,1.0,0,16896.0,0.3868234006263145
