lineage,selection_hash,window,selector,captured_regret_tokens,three_stream_mean_regret_tokens,three_stream_mean_paired_diff_vs_learned_tokens
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,600,lru,38400,21845.333333333332,14506.666666666666
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,600,next_use,18944,32597.333333333332,25258.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,end,count,32256,37717.333333333336,20650.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,end,learned,31744,17066.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,end,lfu,31744,17066.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,end,lru,68608,33792.0,16725.333333333332
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,end,next_use,32256,37717.333333333336,20650.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,600,count,7680,21674.666666666668,1706.6666666666667
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,600,learned,22016,19968.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,600,lfu,22016,19968.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,600,lru,7680,21674.666666666668,1706.6666666666667
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,600,next_use,7680,21674.666666666668,1706.6666666666667
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,end,count,22016,35840.0,9386.666666666666
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,end,learned,24064,26453.333333333332,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,end,lfu,24064,26453.333333333332,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,end,lru,22016,35840.0,9386.666666666666
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,end,next_use,22016,35840.0,9386.666666666666
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",00001023cd410b3c297dbe0eb37820920f4f10ed040204605a08ef3a262d927b,600,count,13312,12800.0,-15018.666666666666
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",00001023cd410b3c297dbe0eb37820920f4f10ed040204605a08ef3a262d927b,600,learned,27136,27818.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",00001023cd410b3c297dbe0eb37820920f4f10ed040204605a08ef3a262d927b,600,lfu,27136,27818.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",00001023cd410b3c297dbe0eb37820920f4f10ed040204605a08ef3a262d927b,600,lru,13312,12800.0,-15018.666666666666
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",00001023cd410b3c297dbe0eb37820920f4f10ed040204605a08ef3a262d927b,600,next_use,13312,12800.0,-15018.666666666666
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",00001023cd410b3c297dbe0eb37820920f4f10ed040204605a08ef3a262d927b,end,count,2560,28501.333333333332,-5120.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",00001023cd410b3c297dbe0eb37820920f4f10ed040204605a08ef3a262d927b,end,learned,0,33621.333333333336,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",00001023cd410b3c297dbe0eb37820920f4f10ed040204605a08ef3a262d927b,end,lfu,0,33621.333333333336,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",00001023cd410b3c297dbe0eb37820920f4f10ed040204605a08ef3a262d927b,end,lru,2560,28501.333333333332,-5120.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",00001023cd410b3c297dbe0eb37820920f4f10ed040204605a08ef3a262d927b,end,next_use,2560,28501.333333333332,-5120.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",000086c30dd8aa425008c90eb3e7aab95ee6bc7ee0a67665e92e20157c49d9f2,600,count,19968,24405.333333333332,-3242.6666666666665
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",000086c30dd8aa425008c90eb3e7aab95ee6bc7ee0a67665e92e20157c49d9f2,600,learned,23552,27648.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",000086c30dd8aa425008c90eb3e7aab95ee6bc7ee0a67665e92e20157c49d9f2,600,lfu,23552,27648.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",000086c30dd8aa425008c90eb3e7aab95ee6bc7ee0a67665e92e20157c49d9f2,600,lru,19968,24405.333333333332,-3242.6666666666665
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",000086c30dd8aa425008c90eb3e7aab95ee6bc7ee0a67665e92e20157c49d9f2,600,next_use,19968,24405.333333333332,-3242.6666666666665
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",000086c30dd8aa425008c90eb3e7aab95ee6bc7ee0a67665e92e20157c49d9f2,end,count,41984,28842.666666666668,9728.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",000086c30dd8aa425008c90eb3e7aab95ee6bc7ee0a67665e92e20157c49d9f2,end,learned,14336,19114.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=3",000086c30dd8aa425008c90eb3e7aab95ee6bc7ee0a67665e92e20157c49d9f2,end,lfu,14336,19114.666666666668,0.0
