trace,l1_fraction,l2_multiplier,policy,seed,replicate,window,selector,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi0,1,2,600,next_use,2,39168.0,39168.0,67225.6,74240,0.0,1.0,0,75776.0,-0.35244189566053113
conversation_trace,0.0025,1,pi0,1,2,end,count,2,39424.0,39424.0,49664.0,52224,0.0,1.0,0,86016.0,-0.1983703133328094
conversation_trace,0.0025,1,pi0,1,2,end,learned,2,62976.0,62976.0,73216.0,75776,0.0,1.0,0,86016.0,0.11190888044417968
conversation_trace,0.0025,1,pi0,1,2,end,lfu,2,62976.0,62976.0,73216.0,75776,0.0,1.0,0,86016.0,-0.1391890433994986
conversation_trace,0.0025,1,pi0,1,2,end,lru,2,39424.0,39424.0,49664.0,52224,0.0,1.0,0,86016.0,0.1362105224052197
conversation_trace,0.0025,1,pi0,1,2,end,next_use,2,39424.0,39424.0,49664.0,52224,0.0,1.0,0,86016.0,-0.2219271392188224
conversation_trace,0.0025,1,pi0,2,0,600,count,8,22272.0,20992.0,34867.2,37376,0.0,1.0,0,52224.0,0.1628323178580543
conversation_trace,0.0025,1,pi0,2,0,600,learned,8,13312.0,17408.0,23244.8,26112,0.25,0.75,0,52224.0,-0.007488100385291425
conversation_trace,0.0025,1,pi0,2,0,600,lfu,8,13312.0,17408.0,23244.8,26112,0.25,0.75,0,52224.0,0.1833607671088966
conversation_trace,0.0025,1,pi0,2,0,600,lru,8,24704.0,28160.0,37683.2,38400,0.0,1.0,0,52224.0,-0.1539572810859404
conversation_trace,0.0025,1,pi0,2,0,600,next_use,8,22272.0,20992.0,34867.2,37376,0.0,1.0,0,52224.0,0.1928517308223966
conversation_trace,0.0025,1,pi0,2,0,end,count,8,39680.0,38912.0,62873.6,65024,0.0,1.0,0,70272.0,0.16503131029605533
conversation_trace,0.0025,1,pi0,2,0,end,learned,8,15488.0,19200.0,26368.0,31744,0.25,0.75,0,70272.0,0.030730190581677298
conversation_trace,0.0025,1,pi0,2,0,end,lfu,8,15488.0,19200.0,26368.0,31744,0.25,0.75,0,70272.0,0.2832737648688821
conversation_trace,0.0025,1,pi0,2,0,end,lru,8,44224.0,50432.0,66099.2,68608,0.0,1.0,0,70272.0,-0.25204703031363146
