trace,l1_fraction,l2_multiplier,cell,target,seed,window,left_iteration,right_iteration,left_decisions,right_decisions,shared_event_keys,left_only_event_keys,right_only_event_keys,exact_ordered_candidate_sets,different_candidate_sets_on_shared_keys,exact_match_share_of_shared,exact_match_share_of_key_union,candidate_set_jaccard_mean,candidate_set_jaccard_min,prediction_agreement_exact_sets,prediction_comparable_exact_sets,prediction_agreement_rate
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,test,1,3,40000.0,40000.0,26527.0,13473.0,13473.0,0.0,26527.0,0.0,0.0,0.02491215279400417,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,test,2,3,40000.0,40000.0,25499.0,14501.0,14501.0,0.0,25499.0,0.0,0.0,0.01759412430319212,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,train,0,1,40000.0,40000.0,14026.0,25974.0,25974.0,1.0,14025.0,7.129616426636246e-05,1.5157486282474914e-05,0.023366215145647257,0.0,0.0,1.0,0.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,train,0,2,40000.0,40000.0,13879.0,26121.0,26121.0,1.0,13878.0,7.20513005259745e-05,1.5123788206469957e-05,0.02569868322017088,0.0,0.0,1.0,0.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,train,0,3,40000.0,40000.0,13745.0,26255.0,26255.0,1.0,13744.0,7.275372862859222e-05,1.5093200513168817e-05,0.022513544099669065,0.0,0.0,1.0,0.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,train,1,2,40000.0,40000.0,13912.0,26088.0,26088.0,1.0,13911.0,7.18803910293272e-05,1.5131340031473188e-05,0.026323923688513315,0.0,1.0,1.0,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,train,1,3,40000.0,40000.0,13980.0,26020.0,26020.0,1.0,13979.0,7.15307582260372e-05,1.514692517418964e-05,0.025236057661747437,0.0,1.0,1.0,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,train,2,3,40000.0,40000.0,14539.0,25461.0,25461.0,32.0,14507.0,0.00220097668340326,0.0004888406837659065,0.03109042992416019,0.0,31.0,32.0,0.96875
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,test,0,1,40000.0,40000.0,26417.0,13583.0,13583.0,0.0,26417.0,0.0,0.0,0.021978088527500293,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,test,0,2,40000.0,40000.0,25994.0,14006.0,14006.0,0.0,25994.0,0.0,0.0,0.022538296443851878,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,test,0,3,40000.0,40000.0,26298.0,13702.0,13702.0,0.0,26298.0,0.0,0.0,0.020604365525679912,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,test,1,2,40000.0,40000.0,26094.0,13906.0,13906.0,0.0,26094.0,0.0,0.0,0.025927563154845977,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,test,1,3,40000.0,40000.0,26201.0,13799.0,13799.0,0.0,26201.0,0.0,0.0,0.024822129110410134,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,test,2,3,40000.0,40000.0,26214.0,13786.0,13786.0,0.0,26214.0,0.0,0.0,0.025926607789349437,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,train,0,1,40000.0,40000.0,13887.0,26113.0,26113.0,0.0,13887.0,0.0,0.0,0.022110286051385545,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,train,0,2,40000.0,40000.0,14718.0,25282.0,25282.0,0.0,14718.0,0.0,0.0,0.02606794544609362,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,train,0,3,40000.0,40000.0,13963.0,26037.0,26037.0,0.0,13963.0,0.0,0.0,0.022944834106421317,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,train,1,2,40000.0,40000.0,13857.0,26143.0,26143.0,0.0,13857.0,0.0,0.0,0.02570350942142107,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,train,1,3,40000.0,40000.0,13890.0,26110.0,26110.0,0.0,13890.0,0.0,0.0,0.02559504946132486,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,train,2,3,40000.0,40000.0,14109.0,25891.0,25891.0,12.0,14097.0,0.0008505209440782479,0.0001821189540301407,0.027761541564834735,0.0,12.0,12.0,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,test,0,1,40000.0,40000.0,25965.0,14035.0,14035.0,0.0,25965.0,0.0,0.0,0.0213222809760003,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,test,0,2,40000.0,40000.0,26128.0,13872.0,13872.0,0.0,26128.0,0.0,0.0,0.022802460124925972,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,test,0,3,40000.0,40000.0,25986.0,14014.0,14014.0,0.0,25986.0,0.0,0.0,0.02070025380540023,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,test,1,2,40000.0,40000.0,26041.0,13959.0,13959.0,0.0,26041.0,0.0,0.0,0.025455140865884657,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,test,1,3,40000.0,40000.0,26342.0,13658.0,13658.0,0.0,26342.0,0.0,0.0,0.025080348678853996,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,test,2,3,40000.0,40000.0,26071.0,13929.0,13929.0,0.0,26071.0,0.0,0.0,0.02657465119133444,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,train,0,1,40000.0,40000.0,13851.0,26149.0,26149.0,0.0,13851.0,0.0,0.0,0.021860876177631598,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,train,0,2,40000.0,40000.0,13869.0,26131.0,26131.0,0.0,13869.0,0.0,0.0,0.024701562491670742,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,train,0,3,40000.0,40000.0,13940.0,26060.0,26060.0,0.0,13940.0,0.0,0.0,0.022325472958830774,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,train,1,2,40000.0,40000.0,14228.0,25772.0,25772.0,0.0,14228.0,0.0,0.0,0.02586148729130425,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,train,1,3,40000.0,40000.0,14267.0,25733.0,25733.0,0.0,14267.0,0.0,0.0,0.025305799727990515,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,train,2,3,40000.0,40000.0,14601.0,25399.0,25399.0,3.0,14598.0,0.0002054653790836244,4.5872261043746844e-05,0.027992868246113942,0.0,3.0,3.0,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,test,0,1,40000.0,40000.0,25918.0,14082.0,14082.0,0.0,25918.0,0.0,0.0,0.022548283387859008,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,test,0,2,40000.0,40000.0,26080.0,13920.0,13920.0,0.0,26080.0,0.0,0.0,0.0232470337428095,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,test,0,3,40000.0,40000.0,25960.0,14040.0,14040.0,0.0,25960.0,0.0,0.0,0.020781446908332724,0.0,0.0,0.0,nan
