trace,l1_policy,l1_fraction,l1_capacity_bytes,requested_tokens,l1_avoided_tokens,depth_bin,events_measured,share_of_events,evicted_bytes_share,share_reused_before_end,share_reused_with_l1_ancestors,median_distinct_bytes_to_reuse,rescue_tokens_self,rescue_tokens_with_ancestors,rescue_share_with_ancestors,missing_ancestor_bytes
synthetic_trace,lfu,0.02,874166968,32087376,3986445,64+,10141,0.18183611260534338,0.1816852487233169,0.7397692535252933,0.0033324446814182885,3985154048.0,7890,4805718,0.1932851781266044,1126619414528
synthetic_trace,lru,0.0025,109270871,32087376,392704,1,1640,0.026120472716847705,0.023990085627539057,0.6109756097560975,1.0,3513321472.0,649263,649263,0.022815504435167947,0
synthetic_trace,lru,0.0025,109270871,32087376,392704,2-3,2858,0.04551970184436021,0.0458346633446279,0.6994401679496152,0.0,3506493440.0,0,1290240,0.04533983369209564,3962568704
synthetic_trace,lru,0.0025,109270871,32087376,392704,4-7,5478,0.08724874972127544,0.08738392696823714,0.6936838262139466,0.0005263157894736842,3549564928.0,547,2455223,0.08627805873094008,22442672128
synthetic_trace,lru,0.0025,109270871,32087376,392704,8-15,9122,0.14528716592871022,0.1453038377870951,0.6701381276035957,0.000490757402257484,3651983360.0,1669,4033892,0.141753466341049,85906685952
synthetic_trace,lru,0.0025,109270871,32087376,392704,16-31,15275,0.24328671996941995,0.2451114926763691,0.6630441898527005,0.00039494470774091627,3734968320.0,2048,6769501,0.23788446298244909,307123716096
synthetic_trace,lru,0.0025,109270871,32087376,392704,32-63,16971,0.2702991112668429,0.27027430199214103,0.6789228684226033,0.00017358097552508245,3514357760.0,1024,7834251,0.27530043824570155,715081646080
synthetic_trace,lru,0.0025,109270871,32087376,392704,64+,11442,0.18223807855254356,0.18210169160399062,0.7608809648662821,0.00022972662531587412,3888113664.0,970,5424726,0.19062823557259673,1235011764224
synthetic_trace,lru,0.01,437083484,32087376,1979479,1,1579,0.026453785454606377,0.024147042423651417,0.5940468651044966,1.0,3647264768.0,612399,612399,0.02279090748487895,0
synthetic_trace,lru,0.01,437083484,32087376,1979479,2-3,2725,0.04565330295364305,0.04598853826320517,0.6862385321100918,0.0,3646879744.0,0,1216512,0.04527344500275974,3736076288
synthetic_trace,lru,0.01,437083484,32087376,1979479,4-7,5240,0.08778836971636315,0.08794569970308054,0.6814885496183206,0.0014001680201624195,3646879744.0,1439,2323692,0.08647801416291231,21236809728
synthetic_trace,lru,0.01,437083484,32087376,1979479,8-15,8753,0.1466434351388028,0.14672559574872024,0.6578316005940821,0.0010420284821118443,3750948864.0,3011,3824996,0.1423502160618029,81404100608
synthetic_trace,lru,0.01,437083484,32087376,1979479,16-31,14617,0.24488599239390843,0.24681514721022055,0.6486967229937743,0.0,3805227008.0,341,6406153,0.23840999145488437,290507980800
synthetic_trace,lru,0.01,437083484,32087376,1979479,32-63,15984,0.26778803464624973,0.26770971323471093,0.6615990990990991,0.0006619385342789598,3772174336.0,3152,7338123,0.27309398350693315,669530456064
synthetic_trace,lru,0.01,437083484,32087376,1979479,64+,10791,0.1807870796964265,0.18066826341641118,0.7572977481234362,0.0004894762604013706,3808817152.0,1636,5148446,0.19160344232582857,1183406096384
synthetic_trace,lru,0.02,874166968,32087376,4297568,1,1498,0.027152930087549168,0.02449586358372534,0.5660881174899867,1.0,3940892672.0,559663,559663,0.022794791121230853,0
