trace,policy,eviction,size_model,capacity_fraction,capacity_bytes,working_set_bytes,avoided_prefill_tokens,reused_prefix_tokens,avoided_tokens_per_cache_byte,block_hit_rate,request_hit_rate,measured_requests,gain_vs_lru_fraction,headroom_closure
toolagent_trace,fixed_self,sampled,packed,0.01,1784653926,178465392640,32799744,32799744,0.0183787699800796,0.3819306989721699,0.9998999699909973,9997,0.07505227974153705,0.19636781315850044
toolagent_trace,fixed_cross_conversation_trace,sampled,packed,0.01,1784653926,178465392640,32592003,32592003,0.01826236589916873,0.3795161328786397,0.9998999699909973,9997,0.0682433108774573,0.17855273371909905
toolagent_trace,fixed_cross_synthetic_trace,sampled,packed,0.01,1784653926,178465392640,32416768,32416768,0.018164175993861567,0.37747120406362533,0.9996999099729919,9997,0.062499766469290334,0.16352524542567837
toolagent_trace,offline_next_use,heap,packed,0.01,1784653926,178465392640,42170870,42170870,0.023629718560908262,0.49142083800348174,0.9997999399819946,9997,0.38220255414749554,1.0
toolagent_trace,lru,sampled,packed,0.05,8923269632,178465392640,39750363,39750363,0.00445468585387693,0.46316147187179546,0.9995998799639892,9997,0.0,0.0
toolagent_trace,lfu,sampled,packed,0.05,8923269632,178465392640,37162858,37162858,0.004164713107707648,0.43284525314191685,1.0,9997,-0.06509387096666262,-0.2751545834071951
toolagent_trace,longest_first,sampled,packed,0.05,8923269632,178465392640,4535296,4535296,0.0005082549544099666,0.05281043569503732,0.5149544863459038,9997,-0.8859055450638275,-3.7447607212513465
toolagent_trace,frequency_x_prefix_length,sampled,packed,0.05,8923269632,178465392640,34276864,34276864,0.003841289730512987,0.39913075620632915,0.9992997899369811,9997,-0.1376968305924653,-0.5820504065208373
toolagent_trace,structural,sampled,packed,0.05,8923269632,178465392640,37424128,37424128,0.004193992733985336,0.4357785038036868,1.0,9997,-0.058521100801016586,-0.24737120211641583
toolagent_trace,online,sampled,packed,0.05,8923269632,178465392640,39856643,39856643,0.0044665962863061895,0.4641511458755634,0.9998999699909973,9997,0.0026736862755190435,0.011301786518100139
toolagent_trace,fixed_self,sampled,packed,0.05,8923269632,178465392640,40968499,40968499,0.004591198147042611,0.477064603057258,1.0,9997,0.030644650968344615,0.12953625350030515
toolagent_trace,fixed_cross_conversation_trace,sampled,packed,0.05,8923269632,178465392640,40921800,40921800,0.004585964751445942,0.47653995659742926,1.0,9997,0.02946984408670683,0.12457029444301536
toolagent_trace,fixed_cross_synthetic_trace,sampled,packed,0.05,8923269632,178465392640,39270400,39270400,0.0044008980586187,0.45727708487348867,1.0,9997,-0.012074430615891482,-0.05103913589186015
toolagent_trace,offline_next_use,heap,packed,0.05,8923269632,178465392640,49154186,49154186,0.005508539809637347,0.572854315217132,1.0,9997,0.23657200312862553,1.0
synthetic_trace,lru,sampled,packed,0.0025,109270871,43708348416,392704,392704,0.00359385805573015,0.012068097425892127,0.018518518518518517,1674,0.0,0.0
synthetic_trace,lfu,sampled,packed,0.0025,109270871,43708348416,754176,754176,0.006901894284342256,0.023176411353766756,0.031660692951015534,1674,0.9204693611473272,0.11956013017352611
synthetic_trace,longest_first,sampled,packed,0.0025,109270871,43708348416,532480,532480,0.0048730278721764745,0.016363521933413054,0.005973715651135006,1674,0.3559322033898305,0.0462321749821142
synthetic_trace,frequency_x_prefix_length,sampled,packed,0.0025,109270871,43708348416,628736,628736,0.005753921372146837,0.019321543205991568,0.009557945041816009,1674,0.6010430247718384,0.078069716728039
synthetic_trace,structural,sampled,packed,0.0025,109270871,43708348416,520192,520192,0.004760573382818555,0.015985902196488138,0.02090800477897252,1674,0.3246414602346806,0.042167807950719546
synthetic_trace,online,sampled,packed,0.0025,109270871,43708348416,568832,568832,0.005205705736526983,0.017480646988482597,0.026284348864994027,1674,0.4485006518904824,0.05825592744999006
synthetic_trace,fixed_self,sampled,packed,0.0025,109270871,43708348416,353280,353280,0.0032330665690401606,0.010856567436591353,0.017323775388291517,1674,-0.10039113428943937,-0.013039844225724519
synthetic_trace,fixed_cross_conversation_trace,sampled,packed,0.0025,109270871,43708348416,488448,488448,0.004470065951977266,0.015010384542765435,0.02031063321385902,1674,0.2438070404172099,0.03166819311961669
synthetic_trace,fixed_cross_toolagent_trace,sampled,packed,0.0025,109270871,43708348416,457216,457216,0.004184244124859223,0.014050601044747939,0.01971326164874552,1674,0.16427640156453716,0.02133792691482194
synthetic_trace,offline_next_use,heap,packed,0.0025,109270871,43708348416,3416053,3416053,0.03126224737423389,0.10499402102083202,0.12783751493428913,1674,7.698798586212516,1.0
synthetic_trace,lru,sampled,packed,0.01,437083484,43708348416,1979479,1979479,0.004528835045160389,0.06084398011202719,0.061529271206690564,1674,0.0,0.0
synthetic_trace,lfu,sampled,packed,0.01,437083484,43708348416,2484237,2484237,0.005683667058899897,0.07635785763735918,0.07945041816009558,1674,0.2549953800974903,0.08033380134955465
synthetic_trace,longest_first,sampled,packed,0.01,437083484,43708348416,1469440,1469440,0.0033619206714294424,0.045157026873937946,0.008363201911589008,1674,-0.25766325381577676,-0.08117428888006827
synthetic_trace,frequency_x_prefix_length,sampled,packed,0.01,437083484,43708348416,1559040,1559040,0.0035669158343214816,0.0479105041223488,0.011947431302270013,1674,-0.21239881807283634,-0.0669141709603521
synthetic_trace,structural,sampled,packed,0.01,437083484,43708348416,1536512,1536512,0.003515374193365769,0.04721820127131978,0.044802867383512544,1674,-0.22377959048820423,-0.0704995720373093
synthetic_trace,online,sampled,packed,0.01,437083484,43708348416,2342912,2342912,0.005360330659394122,0.07199949650701744,0.07825567502986858,1674,0.18360033119825975,0.05784148924013625
synthetic_trace,fixed_self,sampled,packed,0.01,437083484,43708348416,1747456,1747456,0.00399799137686017,0.05370067342186418,0.04898446833930705,1674,-0.11721417605339587,-0.0369271801348918
synthetic_trace,fixed_cross_conversation_trace,sampled,packed,0.01,437083484,43708348416,2160640,2160640,0.004943311928025173,0.06639813707596451,0.06511350059737156,1674,0.09151953620119234,0.02883233507202792
synthetic_trace,fixed_cross_toolagent_trace,sampled,packed,0.01,437083484,43708348416,2229760,2229760,0.005101451053684747,0.06852224809616717,0.06810035842293907,1674,0.12643781520288924,0.039832997467237535
synthetic_trace,offline_next_use,heap,packed,0.01,437083484,43708348416,8262737,8262737,0.01890425354072633,0.2540436780162377,0.24432497013142174,1674,3.174197857112907,1.0
synthetic_trace,lru,sampled,packed,0.05,2185417421,43708348416,8219964,8219964,0.0037612787017313703,0.25270627478129526,0.23357228195937874,1674,0.0,0.0
synthetic_trace,lfu,sampled,packed,0.05,2185417421,43708348416,7329805,7329805,0.0033539610920855748,0.22526590723141796,0.21505376344086022,1674,-0.10829232342136778,-0.10044522007904642
synthetic_trace,longest_first,sampled,packed,0.05,2185417421,43708348416,4250424,4250424,0.0019449025889320024,0.13062496066461074,0.04838709677419355,1674,-0.48291452371324256,-0.447921460000492
synthetic_trace,frequency_x_prefix_length,sampled,packed,0.05,2185417421,43708348416,7249208,7249208,0.0033170816386568925,0.22277991062999558,0.08721624850657109,1674,-0.11809735419765828,-0.1095397564514371
synthetic_trace,structural,sampled,packed,0.05,2185417421,43708348416,6228992,6228992,0.0028502527435466983,0.1914217383095223,0.16487455197132617,1674,-0.24221176637756564,-0.22466056144039348
synthetic_trace,online,sampled,packed,0.05,2185417421,43708348416,7716611,7716611,0.0035309551968653406,0.23714519478884763,0.23297491039426524,1674,-0.061235426335200495,-0.05679817073404667
synthetic_trace,fixed_self,sampled,packed,0.05,2185417421,43708348416,7129912,7129912,0.0032624943553060475,0.21911385235068287,0.16726403823178015,1674,-0.13261031313519134,-0.12300107400768258
synthetic_trace,fixed_cross_conversation_trace,sampled,packed,0.05,2185417421,43708348416,7651840,7651840,0.0035013173805939018,0.23514695701428662,0.22640382317801672,1674,-0.06911514454321212,-0.0641069069819978
synthetic_trace,fixed_cross_toolagent_trace,sampled,packed,0.05,2185417421,43708348416,7920128,7920128,0.003624080198086789,0.24339165460381396,0.21923536439665472,1674,-0.0364765587781163,-0.033833385954218254
synthetic_trace,offline_next_use,heap,packed,0.05,2185417421,43708348416,17082098,17082098,0.007816400581351456,0.5253791931524955,0.47909199522102747,1674,1.078123213191688,1.0
