policy,size_model,capacity_bytes,capacity_fraction,avoided_prefill_tokens,reused_prefix_tokens,block_hit_rate,request_hit_rate,avoided_tokens_per_cache_byte,requested_tokens,requested_blocks,hit_blocks,trace,working_set_bytes,reference_working_set_bytes,effective_capacity_fraction,online_rank,gap_to_best_online_fraction,gain_vs_lru_fraction
structural,packed,18574420378,0.1,35177901,35177901,0.23816637781629116,0.9991688138974316,0.001893889568778446,144793823,288500,68711,conversation_trace,185744203776,185744203776,0.1000000000021535,2,0.14412340209399127,-0.14412340209399127
lfu,packed,18574420378,0.1,35119237,35119237,0.23781282495667244,0.9991688138974316,0.0018907312468062845,144793823,288500,68609,conversation_trace,185744203776,185744203776,0.1000000000021535,3,0.14555069432326778,-0.14555069432326778
lru_2hit,packed,18574420378,0.1,31349303,31349303,0.21227036395147314,0.9991688138974316,0.0016877674975597562,144793823,288500,61240,conversation_trace,185744203776,185744203776,0.1000000000021535,4,0.23727300277624203,-0.23727300277624203
frequency_x_prefix_length,packed,18574420378,0.1,24068567,24068567,0.16296013864818024,0.9991688138974316,0.0012957910131347842,144793823,288500,47014,conversation_trace,185744203776,185744203776,0.1000000000021535,5,0.4144129508911623,-0.4144129508911623
longest_first,packed,18574420378,0.1,17229271,17229271,0.11665857885615251,0.9991688138974316,0.0009275805462229536,144793823,288500,33656,conversation_trace,185744203776,185744203776,0.1000000000021535,6,0.5808126855584517,-0.5808126855584517
lfu,fixed_block,178465393,0.001,72441856,72441856,0.3454161946798953,0.9986021687563538,0.40591542585514045,202940084,409616,141488,toolagent_trace,192203980800,178465392640,0.000928520794716027,1,0.0,0.5188741061747151
structural,fixed_block,178465393,0.001,72356864,72356864,0.3450109370727706,0.9989410369366316,0.4054391878654031,202940084,409616,141322,toolagent_trace,192203980800,178465392640,0.000928520794716027,2,0.0011732443740811941,0.5170920956747079
frequency_x_prefix_length,fixed_block,178465393,0.001,71857152,71857152,0.34262821764774815,0.9969925449000339,0.4026391379980319,202940084,409616,140346,toolagent_trace,192203980800,178465392640,0.000928520794716027,3,0.008071355874703154,0.5066147327349072
lru_2hit,fixed_block,178465393,0.001,65633695,65633695,0.31296140775750947,0.9651812944764486,0.36776707179301704,202940084,409616,128194,toolagent_trace,192203980800,178465392640,0.000928520794716027,4,0.0939810404636789,0.376128737343075
lru,fixed_block,178465393,0.001,47694444,47694444,0.2274178743017851,0.8495425279566249,0.2672475777978983,202940084,409616,93154,toolagent_trace,192203980800,178465392640,0.000928520794716027,5,0.34161758638541784,0.0
longest_first,fixed_block,178465393,0.001,5873664,5873664,0.02800671848755908,0.46306336834971196,0.0329120615558222,202940084,409616,11472,toolagent_trace,192203980800,178465392640,0.000928520794716027,6,0.918918918918919,-0.8768480454452934
lfu,fixed_block,446163482,0.0025,73752064,73752064,0.3516635092379204,0.9988563198915622,0.1653027802037819,202940084,409616,144047,toolagent_trace,192203980800,178465392640,0.0023213019841886646,1,0.0,0.06620343893391314
structural,fixed_block,446163482,0.0025,73669632,73669632,0.3512704581852271,0.9990681125042359,0.1651180228147852,202940084,409616,143886,toolagent_trace,192203980800,178465392640,0.0023213019841886646,2,0.00111769075371233,0.06501175320864042
frequency_x_prefix_length,fixed_block,446163482,0.0025,73102848,73102848,0.3485679270341002,0.9983056590986107,0.16384767232025502,202940084,409616,142779,toolagent_trace,192203980800,178465392640,0.0023213019841886646,3,0.00880268245780891,0.056817988625554046
lru_2hit,fixed_block,446163482,0.0025,71615486,71615486,0.34150033201828056,0.9986445272788885,0.1605140019056961,202940084,409616,139884,toolagent_trace,192203980800,178465392640,0.0023213019841886646,4,0.02896973839267739,0.035315804234624694
lru,fixed_block,446163482,0.0025,69172600,69172600,0.32984063122534274,0.9855981023381905,0.15503868602137186,202940084,409616,135108,toolagent_trace,192203980800,178465392640,0.0023213019841886646,5,0.062092689365276614,0.0
longest_first,fixed_block,446163482,0.0025,6358528,6358528,0.030318639896879027,0.4632328024398509,0.014251565304038039,202940084,409616,12419,toolagent_trace,192203980800,178465392640,0.0023213019841886646,6,0.9137850840350719,-0.9080773601107953
lfu,fixed_block,892326963,0.005,76212871,76212871,0.3634110972227647,0.9990681125042359,0.08540913158532451,202940084,409616,148859,toolagent_trace,192203980800,178465392640,0.004642603963174523,1,0.0,0.06894012779251141
