trace,l1_fraction,l2_multiplier,cell,target,left_variant,right_variant,comparison,seeds,requested_tokens,measured_requests,best_heap_arm,best_heap_avoided_tokens,best_sampled_arm,offline_avoided_tokens,left_avoided_tokens_mean,left_avoided_tokens_std,left_avoided_tokens_ci95_half,left_avoided_tokens_seed_min,left_avoided_tokens_seed_max,right_avoided_tokens_mean,right_avoided_tokens_std,right_avoided_tokens_ci95_half,right_avoided_tokens_seed_min,right_avoided_tokens_seed_max,saved_requests_mean,saved_requests_std,saved_requests_ci95_half,saved_requests_seed_min,saved_requests_seed_max,lost_requests_mean,lost_requests_std,lost_requests_ci95_half,lost_requests_seed_min,lost_requests_seed_max,unchanged_requests_mean,unchanged_requests_std,unchanged_requests_ci95_half,unchanged_requests_seed_min,unchanged_requests_seed_max,differing_requests_mean,differing_requests_std,differing_requests_ci95_half,differing_requests_seed_min,differing_requests_seed_max,saved_tokens_mean,saved_tokens_std,saved_tokens_ci95_half,saved_tokens_seed_min,saved_tokens_seed_max,lost_tokens_mean,lost_tokens_std,lost_tokens_ci95_half,lost_tokens_seed_min,lost_tokens_seed_max,net_avoided_tokens_mean,net_avoided_tokens_std,net_avoided_tokens_ci95_half,net_avoided_tokens_seed_min,net_avoided_tokens_seed_max,net_fraction_of_input_mean,net_fraction_of_input_std,net_fraction_of_input_ci95_half,net_fraction_of_input_seed_min,net_fraction_of_input_seed_max,net_input_percentage_points_mean,net_input_percentage_points_std,net_input_percentage_points_ci95_half,net_input_percentage_points_seed_min,net_input_percentage_points_seed_max,left_delta_vs_best_heap_tokens_mean,left_delta_vs_best_heap_tokens_std,left_delta_vs_best_heap_tokens_ci95_half,left_delta_vs_best_heap_tokens_seed_min,left_delta_vs_best_heap_tokens_seed_max,left_delta_vs_best_sampled_tokens_mean,left_delta_vs_best_sampled_tokens_std,left_delta_vs_best_sampled_tokens_ci95_half,left_delta_vs_best_sampled_tokens_seed_min,left_delta_vs_best_sampled_tokens_seed_max,best_sampled_avoided_tokens_mean,best_sampled_avoided_tokens_std,best_sampled_avoided_tokens_ci95_half,best_sampled_avoided_tokens_seed_min,best_sampled_avoided_tokens_seed_max,all_seeds_positive,all_seeds_negative,mixed_or_zero_seed_sign
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,direct_child,all,direct_child-all,5,58742117,5183,lru_2hit,12670365,lru_2hit_s,23441857,11778332.6,55580.35978023172,69001.06808132032,11711821.0,11861395.0,11752493.4,56278.56976505356,69867.87129900811,11695638.0,11829870.0,192.0,32.77193921634788,40.68521358921445,141.0,222.0,190.6,21.64024029441448,26.86559964266571,168.0,219.0,4800.4,48.76269065586927,60.53717088335067,4747.0,4867.0,382.6,48.76269065586927,60.53717088335067,316.0,436.0,405726.0,47755.1133649581,59286.299001228,324958.0,451584.0,379886.8,65689.82179683546,81551.61074839567,269824.0,443943.0,25839.2,19468.744045263935,24169.76317959804,7641.0,55134.0,0.00043987519210449973,0.00033142734786463236,0.0004114554328983077,0.00013007702803765142,0.0009385770008935837,0.04398751921044997,0.03314273478646324,0.04114554328983078,0.013007702803765142,0.09385770008935837,-892032.4,55580.35978023172,69001.06808132032,-958544.0,-808970.0,-255211.6,75010.29311567848,93122.64912534083,-364585.0,-155170.0,12033544.2,49581.91270211346,61554.20633274549,11981725.0,12115357.0,True,False,False
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,direct_child,none,direct_child-none,5,58742117,5183,lru_2hit,12670365,lru_2hit_s,23441857,11778332.6,55580.35978023172,69001.06808132032,11711821.0,11861395.0,11795203.0,56965.136649533284,70720.22001581536,11732340.0,11887320.0,216.6,7.63544366752843,9.47913562304074,209.0,226.0,215.2,14.549914089093447,18.063208237741154,199.0,237.0,4751.2,9.257429448826494,11.492774105497766,4736.0,4761.0,431.8,9.257429448826493,11.492774105497764,422.0,447.0,441305.6,70950.97268395973,88083.14512463908,318976.0,490496.0,458176.0,26161.88153592933,32479.058720273923,427550.0,494475.0,-16870.4,92200.18495805743,114463.2971890907,-175499.0,62946.0,-0.0002871942800427162,0.0015695754539806154,0.0019485728985404235,-0.002987617896031905,0.0010715650578272486,-0.02871942800427162,0.15695754539806153,0.19485728985404235,-0.2987617896031905,0.10715650578272486,-892032.4,55580.35978023172,69001.06808132032,-958544.0,-808970.0,-255211.6,75010.29311567848,93122.64912534083,-364585.0,-155170.0,12033544.2,49581.91270211346,61554.20633274549,11981725.0,12115357.0,False,False,True
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,all,none,all-none,5,58742117,5183,lru,17433812,lru_s,23703489,10752352.8,67703.37176389371,84051.36243966741,10654373.0,10822259.0,9987251.8,54418.70828308956,67558.91847383285,9916263.0,10055659.0,534.8,28.41126537132762,35.27158989101569,497.0,573.0,154.8,16.46815108019112,20.44463221092519,135.0,172.0,4493.4,19.034179782696178,23.63026688296177,4469.0,4514.0,689.6,19.03417978269618,23.630266882961774,669.0,714.0,1040281.0,48923.10048433153,60736.314061595695,990880.0,1095346.0,275180.0,42040.49114841547,52191.79586771409,241532.0,322448.0,765101.0,80306.83793426311,99698.12382662026,690873.0,853814.0,0.01302474338812134,0.0013671083378602631,0.0016972170721497877,0.011761118517400386,0.014534954536963657,1.3024743388121336,0.13671083378602633,0.16972170721497876,1.1761118517400386,1.4534954536963658,-6681459.2,67703.37176389371,84051.36243966741,-6779439.0,-6611553.0,-5588389.8,80856.96412307353,100381.0862032137,-5706040.0,-5514715.0,16340742.6,31668.664438210842,39315.536631748735,16284792.0,16360413.0,True,False,False
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,direct_child,all,direct_child-all,5,58742117,5183,lru,17433812,lru_s,23703489,10763631.6,97595.91060490187,121161.90141148472,10661979.0,10922465.0,10752352.8,67703.37176389371,84051.36243966741,10654373.0,10822259.0,347.0,18.66815470259447,23.175859578449295,328.0,369.0,367.2,28.012497211066346,34.77653320042123,333.0,397.0,4468.8,12.41772926102031,15.416175525726215,4451.0,4481.0,714.2,12.417729261020309,15.416175525726215,702.0,732.0,629122.8,85115.02843035418,105667.32375768544,548945.0,753981.0,617844.0,64003.04034965839,79457.53071841413,547328.0,697922.0,11278.8,143229.141946393,177813.95827141142,-108098.0,206653.0,0.0001920053374991576,0.002438270005597398,0.0030270267289040915,-0.0018402128748611494,0.0035179699090517966,0.019200533749915753,0.24382700055973983,0.30270267289040914,-0.18402128748611493,0.3517969909051797,-6670180.4,97595.91060490187,121161.90141148472,-6771833.0,-6511347.0,-5577111.0,84804.64410337443,105281.99249747072,-5630206.0,-5428661.0,16340742.6,31668.664438210842,39315.536631748735,16284792.0,16360413.0,False,False,True
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,direct_child,none,direct_child-none,5,58742117,5183,lru,17433812,lru_s,23703489,10763631.6,97595.91060490187,121161.90141148472,10661979.0,10922465.0,9987251.8,54418.70828308956,67558.91847383285,9916263.0,10055659.0,502.8,12.794530081249565,15.88396053382153,490.0,519.0,151.0,11.467344941179714,14.236306712065456,135.0,164.0,4529.2,15.658863304850708,19.439929810572877,4505.0,4548.0,653.8,15.658863304850705,19.43992981057287,635.0,678.0,1054916.6,89319.44119171369,110886.95479885986,934912.0,1181174.0,278536.8,30084.196568962914,37348.47532176552,244624.0,325120.0,776379.8,83943.1555708981,104212.48468723489,672880.0,897526.0,0.013216748725620495,0.0014290114122189038,0.0017740675687128343,0.011454813588008754,0.015279088426452182,1.3216748725620495,0.1429011412218904,0.17740675687128346,1.1454813588008754,1.5279088426452183,-6670180.4,97595.91060490187,121161.90141148472,-6771833.0,-6511347.0,-5577111.0,84804.64410337443,105281.99249747072,-5630206.0,-5428661.0,16340742.6,31668.664438210842,39315.536631748735,16284792.0,16360413.0,True,False,False
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,all,none,all-none,5,58742117,5183,lru,17433812,lru_s,23703489,9348247.6,56232.6170322883,69810.82259233194,9280482.0,9431681.0,8457389.0,33196.67106051448,41212.50328311938,8408803.0,8488031.0,623.8,13.292855223765885,16.50261372752813,608.0,643.0,176.2,3.898717737923585,4.840121386907562,170.0,180.0,4383.0,11.0,13.656114352186714,4370.0,4396.0,800.0,11.0,13.656114352186714,787.0,813.0,1163317.2,57071.92763259359,70852.79727731117,1102138.0,1245598.0,272458.6,27350.33582609179,33954.48305561987,250368.0,316920.0,890858.6,59354.05934137951,73685.9837847595,838458.0,993313.0,0.015165585537204934,0.0010104174376517545,0.0012543978247287135,0.014273540737389494,0.016909724244361164,1.516558553720493,0.10104174376517527,0.12543978247287113,1.4273540737389496,1.6909724244361162,-8085564.4,56232.6170322883,69810.82259233194,-8153330.0,-8002131.0,-6992495.0,37831.4780110426,46966.45362100317,-7028671.0,-6928732.0,16340742.6,31668.664438210842,39315.536631748735,16284792.0,16360413.0,True,False,False
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,direct_child,all,direct_child-all,5,58742117,5183,lru,17433812,lru_s,23703489,9373878.6,92298.8345988182,114585.76725954807,9262299.0,9490083.0,9348247.6,56232.6170322883,69810.82259233194,9280482.0,9431681.0,382.4,16.68232597691341,20.710522836471316,360.0,396.0,401.6,14.943225890014512,18.55149104950866,380.0,415.0,4399.0,22.438805672316875,27.856990562514103,4373.0,4430.0,784.0,22.438805672316875,27.856990562514103,753.0,810.0,653347.4,71783.96338876811,89117.27388092745,578429.0,747456.0,627716.4,65428.2505902458,81226.87926581132,537855.0,682910.0,25631.0,127785.16344826578,158640.8004147625,-104481.0,209601.0,0.0004363308867468974,0.002175358498711679,0.0027006313104916274,-0.0017786386554641876,0.0035681553662766357,0.04363308867468975,0.21753584987116786,0.2700631310491627,-0.17786386554641875,0.3568155366276636,-8059933.4,92298.8345988182,114585.76725954807,-8171513.0,-7943729.0,-6966864.0,115259.46827050696,143090.58898857085,-7088827.0,-6794709.0,16340742.6,31668.664438210842,39315.536631748735,16284792.0,16360413.0,False,False,True
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,direct_child,none,direct_child-none,5,58742117,5183,lru,17433812,lru_s,23703489,9373878.6,92298.8345988182,114585.76725954807,9262299.0,9490083.0,8457389.0,33196.67106051448,41212.50328311938,8408803.0,8488031.0,597.0,14.317821063276353,17.775072883113587,576.0,610.0,168.4,5.683308895353129,7.05562874306748,160.0,175.0,4417.6,12.0124934963562,14.913089531012679,4402.0,4432.0,765.4,12.0124934963562,14.913089531012679,751.0,781.0,1165068.0,67026.87472946952,83211.51508866635,1097728.0,1267136.0,248578.4,44064.36052866307,54704.35874867323,185856.0,305664.0,916489.6,109439.54468472538,135865.35789689614,792064.0,1081280.0,0.015601916423951829,0.0018630507423613172,0.0023129121801465902,0.013483749657847707,0.018407235816850113,1.5601916423951827,0.1863050742361317,0.23129121801465904,1.3483749657847708,1.8407235816850114,-8059933.4,92298.8345988182,114585.76725954807,-8171513.0,-7943729.0,-6966864.0,115259.46827050696,143090.58898857085,-7088827.0,-6794709.0,16340742.6,31668.664438210842,39315.536631748735,16284792.0,16360413.0,True,False,False
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,all,none,all-none,5,83026370,9997,lfu,30932586,lfu_s,34821090,30318330.2,11645.269262666277,14457.193519361432,30299155.0,30326648.0,30378160.8,9163.226680596743,11375.824671385219,30372836.0,30394340.0,15.6,3.286335345030997,4.079870115579661,12.0,18.0,44.2,4.08656334834051,5.073325126581185,39.0,50.0,9937.2,2.16794833886788,2.6914318568375455,9935.0,9940.0,59.8,2.16794833886788,2.6914318568375455,57.0,62.0,14431.0,5199.482570410252,6454.975323065829,8751.0,22528.0,74261.6,6280.262160133126,7796.725292771737,67072.0,82432.0,-59830.6,10656.205788178078,13229.305891253982,-73681.0,-48128.0,-0.0007206216530964802,0.0001283472442331043,0.00015933860400320989,-0.000887440941956152,-0.0005796712538438088,-0.07206216530964801,0.012834724423310425,0.015933860400320986,-0.0887440941956152,-0.05796712538438089,-614255.8,11645.26926266628,14457.193519361434,-633431.0,-605938.0,-247294.6,16774.082144785152,20824.43490201449,-275301.0,-233384.0,30565624.8,6045.792851231342,7505.639866004378,30557580.0,30574456.0,False,True,False
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,direct_child,all,direct_child-all,5,83026370,9997,lfu,30932586,lfu_s,34821090,30336893.6,6429.627423109367,7982.157030176099,30328292.0,30344164.0,30318330.2,11645.269262666277,14457.193519361432,30299155.0,30326648.0,31.6,1.51657508881031,1.882774803315574,30.0,34.0,23.0,5.522680508593631,6.8562142323588455,17.0,28.0,9942.4,4.8270073544588685,5.992560401030598,9938.0,9949.0,54.6,4.827007354458868,5.992560401030597,48.0,59.0,42415.2,5901.539053501214,7326.553833500757,35948.0,48640.0,23851.8,6287.209730874261,7805.350458272725,18432.0,33792.0,18563.4,6063.833919229648,7528.037219424419,14336.0,29137.0,0.00022358438650274607,7.303503596784549e-05,9.067043662663342e-05,0.00017266803305985797,0.0003509366963773076,0.022358438650274606,0.007303503596784549,0.009067043662663343,0.017266803305985796,0.03509366963773076,-595692.4,6429.627423109367,7982.157030176099,-604294.0,-588422.0,-228731.2,11071.673188818391,13745.094103322152,-246164.0,-218536.0,30565624.8,6045.792851231342,7505.639866004378,30557580.0,30574456.0,True,False,False
