trace,capacity_fraction,policy,packed_avoided_prefill_tokens,fixed_block_avoided_prefill_tokens,fixed_vs_packed_change_fraction
synthetic_trace,0.02,longest_first,1694720,1694720,0.0
synthetic_trace,0.02,frequency_x_prefix_length,4600120,4598784,-0.00029042720624679357
synthetic_trace,0.02,structural,3305984,3305984,0.0
synthetic_trace,0.02,offline_next_use,15907480,15899288,-0.0005149778594723992
synthetic_trace,0.05,lru,9505038,9410318,-0.009965241590827938
synthetic_trace,0.05,lru_2hit,9970890,9968330,-0.00025674739165711385
synthetic_trace,0.05,lfu,8397182,8394622,-0.0003048641794354344
synthetic_trace,0.05,longest_first,4688891,4771323,0.01758027644489923
synthetic_trace,0.05,frequency_x_prefix_length,8506560,8505536,-0.0001203776849866456
synthetic_trace,0.05,structural,7249600,7249600,0.0
synthetic_trace,0.05,offline_next_use,24095733,24087029,-0.0003612257821747942
synthetic_trace,0.1,lru,15877701,15563881,-0.019764826154617724
synthetic_trace,0.1,lru_2hit,16541205,16516629,-0.0014857442368920522
synthetic_trace,0.1,lfu,14313450,14304746,-0.0006080993750633146
synthetic_trace,0.1,longest_first,9074015,9218399,0.01591180971157751
synthetic_trace,0.1,frequency_x_prefix_length,13807013,13800357,-0.0004820738562352335
synthetic_trace,0.1,structural,13499584,13499584,0.0
synthetic_trace,0.1,offline_next_use,31105504,31095775,-0.0003127742279951484
