trace,policy,capacity_fraction,population,horizon_seconds,seeds,population_size_mean,snapshots,auc_mean,auc_ci95_half,average_precision_mean,average_precision_ci95_half,precision_at_100_mean,precision_at_100_ci95_half,prevalence_mean,prevalence_ci95_half
conversation_trace,learned_history,0.0025,leaves,60,5,26.15,24,0.49067656302346735,0.025279522438476323,0.2824732146435468,0.015899217345749096,0.20816781682078966,0.0058597317402777575,0.19949415778659013,0.005615576251099526
conversation_trace,learned_history,0.0025,leaves,300,5,26.15,24,0.4848639625320642,0.027481469249587977,0.5675805551759376,0.008907217603881619,0.5363410620291927,0.010213021461194885,0.5363410620291927,0.010213021461194885
conversation_trace,learned_history,0.0025,leaves,600,5,26.15,24,0.4912216174255728,0.024913554317257634,0.6342957055817873,0.009810935339880778,0.6008842817536677,0.00785506116001024,0.6008842817536677,0.00785506116001024
conversation_trace,learned_history,0.0025,observed,60,5,40000.0,24,0.8812515527875364,0.0021240201657920666,0.11678654622730611,0.0024242817513033155,0.19808333333333333,0.010179980975751679,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.0025,observed,300,5,40000.0,24,0.8595254093693315,0.003995669204002184,0.2756270445083623,0.005065389814751897,0.5251666666666667,0.011736604960549697,0.035940625000000004,6.991019065160602e-05
conversation_trace,learned_history,0.0025,observed,600,5,40000.0,24,0.8413070873972442,0.0024920578887346707,0.32849944702114087,0.00517807482621683,0.6259166666666667,0.01257206747781233,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history,0.0025,observed_protocol,60,5,40000.0,24,0.9025503467032043,0.0013027344051877712,0.14526424606661573,0.0020346479492805475,0.27516666666666667,0.013930992442911058,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.0025,observed_protocol,300,5,40000.0,24,0.8803032680730241,0.0010129633917650616,0.3181280434981409,0.0024222666671240177,0.6515833333333333,0.009328213691091445,0.035940625000000004,6.991019065160602e-05
conversation_trace,learned_history,0.0025,observed_protocol,600,5,40000.0,24,0.8611100237072427,0.0010924896198723194,0.36822923765994664,0.0022172411136177875,0.7230000000000001,0.008407940400465372,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history,0.005,cached,60,5,885.0,24,0.5784038731261805,0.018184363015370422,0.2674516793605877,0.004916464611112442,0.20791666666666667,0.006532863163354274,0.18303201506591338,0.007579129769727125
conversation_trace,learned_history,0.005,cached,300,5,885.0,24,0.5742306065374191,0.006894443913476723,0.5834623828750277,0.009951776344711994,0.5540833333333334,0.018993297870564772,0.5007721280602636,0.012048345173419258
conversation_trace,learned_history,0.005,cached,600,5,885.0,24,0.5308106383267582,0.009668635870232178,0.6745853307217312,0.008946982126646628,0.6575,0.018481347263299443,0.6298210922787193,0.006390605700382102
conversation_trace,learned_history,0.005,leaves,60,5,49.25833333333333,24,0.5476548397763205,0.014696282750722519,0.28531630771552724,0.008675199238658428,0.18643746664669686,0.0048564100720435805,0.18643746664669686,0.0048564100720435805
conversation_trace,learned_history,0.005,leaves,300,5,49.25833333333333,24,0.561419468751797,0.009300939377818241,0.5856220877381902,0.015022525268223248,0.5042042850108692,0.010884208721324567,0.5042042850108692,0.010884208721324567
conversation_trace,learned_history,0.005,leaves,600,5,49.25833333333333,24,0.5581564572607963,0.010665070996655195,0.6525155562625484,0.012152283913504569,0.5805149196368162,0.008983144123703069,0.5805149196368162,0.008983144123703069
conversation_trace,learned_history,0.005,observed,60,5,40000.0,24,0.8790015666883491,0.005368371288273472,0.12115279349060418,0.003585683581030266,0.22633333333333333,0.013692705787307987,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.005,observed,300,5,40000.0,24,0.8583863518707963,0.005439310806850182,0.27717157077966414,0.005174426044050022,0.5721666666666667,0.005729879638061048,0.035940625000000004,6.991019065160602e-05
conversation_trace,learned_history,0.005,observed,600,5,40000.0,24,0.841175404869524,0.004837138303687103,0.33043540848493197,0.006364328631560338,0.6755833333333333,0.005036483164537224,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history,0.005,observed_protocol,60,5,40000.0,24,0.9025503467032043,0.0013027344051877712,0.14526424606661573,0.0020346479492805475,0.27516666666666667,0.013930992442911058,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.005,observed_protocol,300,5,40000.0,24,0.8803032680730241,0.0010129633917650616,0.3181280434981409,0.0024222666671240177,0.6515833333333333,0.009328213691091445,0.035940625000000004,6.991019065160602e-05
conversation_trace,learned_history,0.005,observed_protocol,600,5,40000.0,24,0.8611100237072427,0.0010924896198723194,0.36822923765994664,0.0022172411136177875,0.7230000000000001,0.008407940400465372,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history,0.01,cached,60,5,1771.0,24,0.6220858751489129,0.009557583903012524,0.25989542099807306,0.005004602159623446,0.25233333333333335,0.012872821817905954,0.16764069264069265,0.0012292797231304759
conversation_trace,learned_history,0.01,cached,300,5,1771.0,24,0.6193076760196254,0.014370934782648616,0.5704546153739051,0.004069121752444408,0.6354166666666667,0.02346066746232459,0.4515810276679842,0.005439510935458333
conversation_trace,learned_history,0.01,cached,600,5,1771.0,24,0.5853847072821854,0.00904415896954852,0.662331921670462,0.0032260135985221223,0.7349166666666667,0.014650908185729186,0.5767833615659703,0.004826983820277874
conversation_trace,learned_history,0.01,leaves,60,5,96.38333333333334,24,0.5416362013624697,0.005031189747869907,0.24285199764281984,0.0030775279017606284,0.17527940522676913,0.0027920791680007056,0.17360044147004197,0.0013299888477792726
conversation_trace,learned_history,0.01,leaves,300,5,96.38333333333334,24,0.5647529186275321,0.008033791715420055,0.5260426438181176,0.006100937633059216,0.4544743088776251,0.005853373356436134,0.4507457261683102,0.0044840647367010615
conversation_trace,learned_history,0.01,leaves,600,5,96.38333333333334,24,0.5607325770068937,0.00414458521601884,0.5911953585210706,0.006790256745081916,0.525394579139826,0.006085142769702958,0.5215646363845279,0.003587702696125089
conversation_trace,learned_history,0.01,observed,60,5,40000.0,24,0.8936816058290615,0.0035882748026054936,0.12995266545002598,0.0025245077304548538,0.23658333333333337,0.01280404400526992,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.01,observed,300,5,40000.0,24,0.8740294901924577,0.0036352195088104277,0.29553319088482255,0.004249949141162234,0.6025,0.01229009361685707,0.035940625,6.991019065160602e-05
conversation_trace,learned_history,0.01,observed,600,5,40000.0,24,0.8555198662713226,0.0025883048247116454,0.34778844913558377,0.0037052828142286665,0.6995,0.014958164311022815,0.04856020833333334,0.00014737687748780904
conversation_trace,learned_history,0.01,observed_protocol,60,5,40000.0,24,0.9025503467032043,0.0013027344051877712,0.14526424606661573,0.0020346479492805475,0.27516666666666667,0.013930992442911058,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.01,observed_protocol,300,5,40000.0,24,0.8803032680730241,0.0010129633917650616,0.3181280434981409,0.0024222666671240177,0.6515833333333333,0.009328213691091445,0.035940625,6.991019065160602e-05
conversation_trace,learned_history,0.01,observed_protocol,600,5,40000.0,24,0.8611100237072427,0.0010924896198723194,0.36822923765994664,0.0022172411136177875,0.7230000000000001,0.008407940400465374,0.04856020833333334,0.00014737687748780904
