evaluated_on,fitted_on,standardization,horizon_seconds,auc,auc_std,average_precision,precision_at_100,test_snapshots,mean_positive_states,mean_candidate_states
synthetic_trace,toolagent_trace,none,60,0.7828495706606241,0.026503462373895722,0.30568652563258786,0.3695833333333334,24,5046.875,38685.125
synthetic_trace,toolagent_trace,none,300,0.8382305556874182,0.010590582745102044,0.6783198354625054,0.9075000000000001,24,11838.541666666666,38685.125
toolagent_trace,conversation_trace,none,10,0.9343652544336623,0.029204129325260304,0.12917166454770737,0.08750000000000001,24,75.95833333333333,40000.0
toolagent_trace,conversation_trace,none,60,0.9363125787363137,0.013076042674067138,0.17984166493037002,0.3216666666666667,24,439.75,40000.0
toolagent_trace,conversation_trace,none,300,0.9384021272657677,0.005759556580227351,0.3784011005844163,0.7062499999999999,24,1241.6666666666667,40000.0
toolagent_trace,conversation_trace,none,600,0.9371059061855974,0.007462848509234835,0.4428871351637835,0.7929166666666667,24,1552.7083333333333,40000.0
toolagent_trace,synthetic_trace,none,10,0.7629360779241532,0.0680750826594434,0.024635677240334053,0.013333333333333334,24,75.95833333333333,40000.0
toolagent_trace,synthetic_trace,none,60,0.7572894656251808,0.034682682714984106,0.0401412284381239,0.06958333333333334,24,439.75,40000.0
toolagent_trace,synthetic_trace,none,300,0.7570492305986223,0.012578680726520212,0.088694285874192,0.13583333333333333,24,1241.6666666666667,40000.0
toolagent_trace,synthetic_trace,none,600,0.7543251358374664,0.011534113727492148,0.106421238456694,0.15208333333333332,24,1552.7083333333333,40000.0
toolagent_trace,toolagent_trace,none,10,0.9334113573393483,0.02945847477476478,0.12940231503201322,0.09333333333333334,24,75.95833333333333,40000.0
toolagent_trace,toolagent_trace,none,60,0.9351171214769564,0.01340514856860857,0.17980854614417585,0.32916666666666666,24,439.75,40000.0
toolagent_trace,toolagent_trace,none,300,0.937207635694644,0.00573114541006336,0.37723394305019603,0.7054166666666667,24,1241.6666666666667,40000.0
toolagent_trace,toolagent_trace,none,600,0.9361800805437933,0.006902348835459186,0.4414308989823012,0.785,24,1552.7083333333333,40000.0
conversation_trace,conversation_trace,per_decision,10,0.9016047632929342,0.050894290584401626,0.036848115461059795,0.04875000000000001,24,76.79166666666667,40000.0
conversation_trace,conversation_trace,per_decision,60,0.9038511476405567,0.026414854416148374,0.1454082788421072,0.27458333333333335,24,482.2916666666667,40000.0
conversation_trace,conversation_trace,per_decision,300,0.8807780751596127,0.019428946545178342,0.31986328389651053,0.66375,24,1440.0833333333333,40000.0
conversation_trace,conversation_trace,per_decision,600,0.8610736138444955,0.012340804270322173,0.36955755304677124,0.7329166666666667,24,1941.2083333333333,40000.0
conversation_trace,synthetic_trace,per_decision,10,0.7299148295578451,0.12655151310540094,0.0200875613323603,0.027083333333333334,24,76.79166666666667,40000.0
conversation_trace,synthetic_trace,per_decision,60,0.7314644229232409,0.06069718309087212,0.06243898042242229,0.17375,24,482.2916666666667,40000.0
conversation_trace,synthetic_trace,per_decision,300,0.70773622617688,0.023340476492108637,0.1339047780694631,0.3983333333333334,24,1440.0833333333333,40000.0
conversation_trace,synthetic_trace,per_decision,600,0.6936449151502057,0.02532773927949237,0.15550430337085366,0.455,24,1941.2083333333333,40000.0
conversation_trace,toolagent_trace,per_decision,10,0.9005205827906188,0.04967370966557609,0.03774464226931454,0.05333333333333334,24,76.79166666666667,40000.0
conversation_trace,toolagent_trace,per_decision,60,0.9018775533766643,0.02532372726432391,0.14528837638152184,0.28875,24,482.2916666666667,40000.0
conversation_trace,toolagent_trace,per_decision,300,0.8790328390703976,0.01782189481048322,0.31708644489819354,0.6754166666666667,24,1440.0833333333333,40000.0
