trace,policy,eviction,capacity_fraction,seeds,avoided_prefill_tokens_mean,avoided_prefill_tokens_std,avoided_prefill_tokens_ci95_half,headroom_closure_mean,headroom_closure_std,headroom_closure_ci95_half,gain_vs_lru_fraction_mean,gain_vs_lru_fraction_std,gain_vs_lru_fraction_ci95_half,block_hit_rate_mean,block_hit_rate_std,block_hit_rate_ci95_half
conversation_trace,oracle_binary,sampled,0.05,5,22059890.0,2905.247149555438,3606.7624814266874,0.8566305659333739,0.00035477809983744,0.00044044457282105417,0.8023710659533709,0.00218791014882988,0.0027162137440664264,0.36792053522665213,4.7359492509245475e-05,5.879514957888966e-05
conversation_trace,oracle_binary,sampled,0.1,5,22403828.2,3558.307912477502,4417.514523007597,0.7969849785578532,0.000720084513699393,0.0008939596783925155,0.29489432219900025,0.0009152611200674171,0.001136264592522831,0.37365681321682137,5.930690317412212e-05,7.362744105635244e-05
conversation_trace,oracle_binary_h300,sampled,0.001,5,2830191.2,457.9467217919569,568.5247999999999,0.06536917365191394,0.00016961140461690876,0.00021056661244395596,0.06650920075245996,0.00017256939822494894,0.00021423885780435907,0.0471958629164391,7.632673325710203e-06,9.475696340798526e-06
conversation_trace,oracle_binary_h300,sampled,0.0025,5,3465772.6,4599.4587507662245,5710.066787148129,0.15506388621713352,0.0007873860037952776,0.0009775121188308757,0.3020764560802011,0.0014457264595865908,0.0017948187140087754,0.05781335335882032,7.665993542284046e-05,9.517062221505076e-05
conversation_trace,oracle_binary_h300,sampled,0.005,5,4932194.4,6160.236221120096,7647.717297463508,0.2626696240942695,0.0010838392941348873,0.0013455484854635773,0.8028895921791804,0.005292496369813658,0.006570448694064398,0.08229109776078646,0.00010423560543830208,0.00012940484976680625
conversation_trace,oracle_binary_h300,sampled,0.01,5,9985579.0,13505.501268001866,16766.606336312376,0.5711891840790198,0.001200557825712973,0.0014904504503953642,2.14442952076147,0.007870612281269465,0.009771089212249178,0.16656540141998905,0.00022305173747548323,0.00027691091212901176
conversation_trace,oracle_binary_h300,sampled,0.02,5,17516121.2,8006.239298197375,9939.465398832224,0.8679910886769017,0.0005521715902491946,0.0006855016707701625,2.7489177726019838,0.010629964666677934,0.0131967284588962,0.29215592572364824,0.0001369368389531115,0.00017000228470642425
conversation_trace,oracle_binary_h300,sampled,0.05,5,19586954.6,11049.00270612692,13716.949493862698,0.6409192906747319,0.0010170855281016438,0.0012626760252463873,0.6003233378119373,0.0019799218416614453,0.0024580035525564375,0.326681116876024,0.0001841555452144067,0.00022862265309429354
conversation_trace,oracle_binary_h300,sampled,0.1,5,21236638.6,19507.80471503649,24218.255631696862,0.6146658881817422,0.0026552188256574625,0.0032963610830233844,0.2274328034362895,0.0008604896746031627,0.0010682677632051568,0.3541848716548334,0.0003251397894256513,0.00040364964953114573
conversation_trace,oracle_binary_h60,sampled,0.001,5,4183275.6,1674.7957487407234,2079.200205578135,0.5665159986607289,0.0006203002355357067,0.0007700809953785421,0.5763959398514374,0.0006311181645300422,0.0007835110749604042,0.06978597760786456,2.7914096180016006e-05,3.465437177020336e-05
conversation_trace,oracle_binary_h60,sampled,0.0025,5,6408250.8,9869.349330123036,12252.45118489432,0.7225340276985182,0.0018991076027769856,0.0023576755082390633,1.4075539021066794,0.003729610589213199,0.004630180790492901,0.10691391316220644,0.00016465624225454512,0.0002044149520935842
conversation_trace,oracle_binary_h60,sampled,0.005,5,7370388.8,8806.993226975936,10933.573327865206,0.5542481760685993,0.0008958102387414972,0.0011121170052830515,1.6941287211971385,0.004435588012155337,0.005506627010289258,0.12297753959584926,0.0001491548188570841,0.0001851704784083669
conversation_trace,oracle_binary_h60,sampled,0.01,5,8605155.2,7265.891321785649,9020.3493418969,0.45540498388852513,0.0005487958560891785,0.0006813108151600023,1.7097353571234586,0.0043638629741362435,0.005417582890188922,0.14356738121245222,0.00012013886005173825,0.00014914818281889944
conversation_trace,oracle_binary_h60,sampled,0.02,5,10784217.6,13480.290085899487,16735.307537608387,0.41304460286869843,0.0007262752177042743,0.0009016452203753518,1.3081067161826403,0.005258691768087767,0.006528481466173589,0.1799119333697433,0.00022467821182091494,0.00027893012300647663
conversation_trace,oracle_binary_h60,sampled,0.05,5,14861817.2,8826.761733501138,10958.115235654306,0.2287502055259968,0.0015059489934507234,0.001869582878465778,0.2142633439814297,0.001887121676171658,0.002342795400571857,0.24788708356089567,0.00014589690847885333,0.00018112589689252184
conversation_trace,oracle_binary_h60,sampled,0.1,5,18505346.6,20145.310963100073,25009.697288405023,0.18802077084747484,0.0028181744563471898,0.0034986647854808044,0.06956996389330664,0.0010579822367746499,0.001313447855270627,0.3086445248498088,0.00033852648675922886,0.00042026876494800463
conversation_trace,oracle_binary_per_byte,sampled,0.001,5,3045898.6,667.5663262927512,828.7601899566363,0.14526151343567495,0.00024724898528459067,0.0003069509469553182,0.14779484914624735,0.0002515609648930224,0.00031230411846595835,0.05096088203167668,1.112643774781911e-05,1.3813082383336777e-05
conversation_trace,oracle_binary_per_byte,sampled,0.0025,5,3454747.6,2670.265305171005,3315.040759826545,0.15293752720693082,0.0006245123696458403,0.0007753102122035176,0.2979349316277126,0.0013465475531938495,0.0016716915788247664,0.05781335335882032,4.45057509912777e-05,5.525232953334867e-05
conversation_trace,oracle_binary_per_byte,sampled,0.005,5,4491445.2,24011.10782950258,29808.948567488453,0.20996142382884755,0.0030012526847067425,0.0037259499874693325,0.6417807987314517,0.009887854753238869,0.012275425018912994,0.0750921627525942,0.0004001970830445912,0.0004968306481335
conversation_trace,oracle_binary_per_byte,sampled,0.01,5,8366670.8,18786.284017867933,23322.51298187838,0.43540184591681175,0.001563817894016453,0.0019414250896985898,1.6346377004914685,0.007079435306123413,0.008788870735393571,0.13968118514472966,0.0003131140853051421,0.00038872015947339695
conversation_trace,oracle_binary_per_byte,sampled,0.02,5,15322293.2,16648.26871479434,20668.24193956037,0.7197309562756371,0.0010437800787462704,0.00129581637399032,2.2793766124420034,0.008323720654910167,0.010333607372646521,0.25561168760240305,0.00027747943263229714,0.00034448098749150353
conversation_trace,oracle_binary_per_byte,sampled,0.05,5,22060914.0,2996.7684261550808,3720.382937690581,0.8567200640543067,0.0002586651652848052,0.00032112373418696153,0.8024545766109293,0.002024588888944768,0.002513456125781491,0.3679376024030584,4.961237661710054e-05,6.159202621517084e-05
conversation_trace,oracle_binary_per_byte,sampled,0.1,5,22403828.2,3558.307912477502,4417.514523007597,0.7969849785578532,0.000720084513699393,0.0008939596783925155,0.29489432219900025,0.0009152611200674171,0.001136264592522831,0.37365681321682137,5.930690317412212e-05,7.362744105635244e-05
conversation_trace,oracle_count,sampled,0.001,5,3947949.8,280.4339494426451,348.14891652946443,0.47935752021499456,0.00010386534896706416,0.00012894518933854603,0.48771743259212813,0.00010567674271755003,0.00013119397117431617,0.06581444565811032,4.674038755337139e-06,5.802655248130584e-06
conversation_trace,oracle_count,sampled,0.0025,5,5499359.4,4794.791841154317,5952.565970703202,0.5472501823035694,0.0009333330359509029,0.0011587002425108293,1.0660872000582162,0.0019971001775657667,0.0024793298543282273,0.09168657837247406,7.991558416468792e-05,9.921239598861637e-05
