horizon_seconds,model,train_decisions,train_rows,train_prevalence,test_decisions,test_rows,within_decision_auc_micro,within_decision_auc_macro,pooled_auc,regret_when_avoidable,decisions,decisions_with_both_classes,prevalence,status,trace,capacity_fraction,seed,decisions_seen,decisions_kept
60,recency,22836,365376,0.1204321028201086,15777,252432,0.4904066751270085,0.49036510900875246,0.49093986081375257,0.11136464473600811,15777,0.9255878810927299,0.15070989414971162,ok,conversation_trace,0.02,0,245916,40000
300,arm,20329,325264,0.32292537753947564,12709,203344,0.5770787738544962,0.5770195363085305,0.5810690317773902,0.20646785742387286,12709,0.999213156031159,0.3809406719647494,ok,conversation_trace,0.02,0,245916,40000
300,frequency,20329,325264,0.32292537753947564,12709,203344,0.5578244141795726,0.5576433558479389,0.5596524122968884,0.23479424030214807,12709,0.999213156031159,0.3809406719647494,ok,conversation_trace,0.02,0,245916,40000
300,gbm,20329,325264,0.32292537753947564,12709,203344,0.593612083025496,0.5936191500503897,0.595602739045616,0.20308442835785664,12709,0.999213156031159,0.3809406719647494,ok,conversation_trace,0.02,0,245916,40000
300,gbm_plus_context,20329,325264,0.32292537753947564,12709,203344,0.594429652759385,0.5945439754481067,0.5965655888222181,0.2011173184357542,12709,0.999213156031159,0.3809406719647494,ok,conversation_trace,0.02,0,245916,40000
300,linear,20329,325264,0.32292537753947564,12709,203344,0.6183350293432957,0.6182206827933115,0.6200298333798986,0.20631048863010465,12709,0.999213156031159,0.3809406719647494,ok,conversation_trace,0.02,0,245916,40000
300,recency,20329,325264,0.32292537753947564,12709,203344,0.5103614592190919,0.5103396558463148,0.5126192703234622,0.2809819812731135,12709,0.999213156031159,0.3809406719647494,ok,conversation_trace,0.02,0,245916,40000
600,arm,16980,271680,0.39035998233215546,9097,145552,0.573682536198047,0.573950639050797,0.5782541097025329,0.257997141914917,9097,0.9997801473013082,0.44343602286468065,ok,conversation_trace,0.02,0,245916,40000
600,frequency,16980,271680,0.39035998233215546,9097,145552,0.5532110825648476,0.552729128405496,0.5547924268865303,0.2866879190942069,9097,0.9997801473013082,0.44343602286468065,ok,conversation_trace,0.02,0,245916,40000
600,gbm,16980,271680,0.39035998233215546,9097,145552,0.5738425275659546,0.573791884158844,0.5755384626707919,0.3209849400901396,9097,0.9997801473013082,0.44343602286468065,ok,conversation_trace,0.02,0,245916,40000
600,gbm_plus_context,16980,271680,0.39035998233215546,9097,145552,0.5614348249117722,0.5612620218528341,0.5633993797654825,0.32977904803781466,9097,0.9997801473013082,0.44343602286468065,ok,conversation_trace,0.02,0,245916,40000
600,linear,16980,271680,0.39035998233215546,9097,145552,0.5734053418513234,0.5737359475438433,0.5783496825999479,0.3058151038804001,9097,0.9997801473013082,0.44343602286468065,ok,conversation_trace,0.02,0,245916,40000
600,recency,16980,271680,0.39035998233215546,9097,145552,0.5099910888528805,0.5104453839026406,0.5129994561544888,0.3117511267450808,9097,0.9997801473013082,0.44343602286468065,ok,conversation_trace,0.02,0,245916,40000
60,arm,22542,360672,0.08541555762576523,16111,257776,0.6075132259450808,0.6076808278736378,0.6035464940196786,0.0522624293960648,16111,0.8021848426540873,0.09670799453789336,ok,conversation_trace,0.05,0,217757,40000
60,frequency,22542,360672,0.08541555762576523,16111,257776,0.5090751470784369,0.508358456848548,0.5091036951363256,0.07752467258394885,16111,0.8021848426540873,0.09670799453789336,ok,conversation_trace,0.05,0,217757,40000
60,gbm,22542,360672,0.08541555762576523,16111,257776,0.6555623064269943,0.6552379500571818,0.655835205860106,0.028862268015641488,16111,0.8021848426540873,0.09670799453789336,ok,conversation_trace,0.05,0,217757,40000
60,gbm_plus_context,22542,360672,0.08541555762576523,16111,257776,0.6555193313673479,0.6545760679320335,0.6558471282128904,0.02966917013220781,16111,0.8021848426540873,0.09670799453789336,ok,conversation_trace,0.05,0,217757,40000
60,linear,22542,360672,0.08541555762576523,16111,257776,0.6587068952742253,0.6586403147408835,0.6585910481879719,0.0361864564583204,16111,0.8021848426540873,0.09670799453789336,ok,conversation_trace,0.05,0,217757,40000
60,recency,22542,360672,0.08541555762576523,16111,257776,0.5958655028822928,0.5969180498232552,0.5970387549749931,0.0316553907268326,16111,0.8021848426540873,0.09670799453789336,ok,conversation_trace,0.05,0,217757,40000
300,arm,19973,319568,0.23583087167676364,13022,208352,0.6313515405800175,0.6305079217699092,0.626665599477721,0.14867147903547842,13022,0.9889417908155429,0.24599235908462602,ok,conversation_trace,0.05,0,217757,40000
300,frequency,19973,319568,0.23583087167676364,13022,208352,0.5281567361466789,0.5275064593048752,0.5276653875564054,0.18322838273690678,13022,0.9889417908155429,0.24599235908462602,ok,conversation_trace,0.05,0,217757,40000
300,gbm,19973,319568,0.23583087167676364,13022,208352,0.6432428144492213,0.6429622046065788,0.6449000577746573,0.09952388266011365,13022,0.9889417908155429,0.24599235908462602,ok,conversation_trace,0.05,0,217757,40000
300,gbm_plus_context,19973,319568,0.23583087167676364,13022,208352,0.6483292204063261,0.6478719422919317,0.6495683330822865,0.09837198587006604,13022,0.9889417908155429,0.24599235908462602,ok,conversation_trace,0.05,0,217757,40000
300,linear,19973,319568,0.23583087167676364,13022,208352,0.663696219383699,0.6635822137496505,0.664015701379787,0.11204116111196437,13022,0.9889417908155429,0.24599235908462602,ok,conversation_trace,0.05,0,217757,40000
300,recency,19973,319568,0.23583087167676364,13022,208352,0.6038915015028997,0.6043540275685213,0.6050230391563517,0.09606819228997082,13022,0.9889417908155429,0.24599235908462602,ok,conversation_trace,0.05,0,217757,40000
600,arm,16445,263120,0.2883893280632411,9436,150976,0.6262111780299997,0.6260438743015457,0.6222341820509092,0.18556591776176345,9436,0.9972445951674438,0.29825932598558713,ok,conversation_trace,0.05,0,217757,40000
600,frequency,16445,263120,0.2883893280632411,9436,150976,0.5240834242990023,0.5234755527416259,0.5233243580748226,0.2291225095379398,9436,0.9972445951674438,0.29825932598558713,ok,conversation_trace,0.05,0,217757,40000
600,gbm,16445,263120,0.2883893280632411,9436,150976,0.6201484391134113,0.6203326434679384,0.6220048882561272,0.17571004662992792,9436,0.9972445951674438,0.29825932598558713,ok,conversation_trace,0.05,0,217757,40000
600,gbm_plus_context,16445,263120,0.2883893280632411,9436,150976,0.6236550076073992,0.6238039538245436,0.6249158962141701,0.1616150911403137,9436,0.9972445951674438,0.29825932598558713,ok,conversation_trace,0.05,0,217757,40000
600,linear,16445,263120,0.2883893280632411,9436,150976,0.6546599007877135,0.6552953606900539,0.6566186288785157,0.1506994489190335,9436,0.9972445951674438,0.29825932598558713,ok,conversation_trace,0.05,0,217757,40000
600,recency,16445,263120,0.2883893280632411,9436,150976,0.6069398025026447,0.6075420133871914,0.6081747041331071,0.1228274692666384,9436,0.9972445951674438,0.29825932598558713,ok,conversation_trace,0.05,0,217757,40000
60,arm,21605,345680,0.05844133302476279,16855,269680,0.6272581965785164,0.6270729002344919,0.6218312314441269,0.02930881044200534,16855,0.6303174132304954,0.06044200533966182,ok,conversation_trace,0.1,0,189924,40000
60,frequency,21605,345680,0.05844133302476279,16855,269680,0.46945881676596635,0.46953697187601556,0.4681686683160238,0.06627113616137645,16855,0.6303174132304954,0.06044200533966182,ok,conversation_trace,0.1,0,189924,40000
60,gbm,21605,345680,0.05844133302476279,16855,269680,0.7286919445315494,0.7276980381096063,0.7293319787636795,0.007060219519430436,16855,0.6303174132304954,0.06044200533966182,ok,conversation_trace,0.1,0,189924,40000
60,gbm_plus_context,21605,345680,0.05844133302476279,16855,269680,0.7333585937772203,0.7321709148657568,0.7330344223400242,0.005695639276179176,16855,0.6303174132304954,0.06044200533966182,ok,conversation_trace,0.1,0,189924,40000
60,linear,21605,345680,0.05844133302476279,16855,269680,0.7383257552001672,0.7378534541591064,0.7389182248636472,0.007831504004746366,16855,0.6303174132304954,0.06044200533966182,ok,conversation_trace,0.1,0,189924,40000
60,recency,21605,345680,0.05844133302476279,16855,269680,0.6986472596773632,0.6980378512128559,0.699636164092149,0.005221002669830911,16855,0.6303174132304954,0.06044200533966182,ok,conversation_trace,0.1,0,189924,40000
300,arm,18950,303200,0.16820250659630606,13776,220416,0.6386077413735222,0.6387426278710602,0.6334766290813042,0.08710801393728224,13776,0.9358304297328688,0.15857288037166087,ok,conversation_trace,0.1,0,189924,40000
300,frequency,18950,303200,0.16820250659630606,13776,220416,0.4783918412528468,0.47838819244972286,0.47755791998130215,0.1602061556329849,13776,0.9358304297328688,0.15857288037166087,ok,conversation_trace,0.1,0,189924,40000
300,gbm,18950,303200,0.16820250659630606,13776,220416,0.7172633899812182,0.7161471447707581,0.7166171904982239,0.021268873403019743,13776,0.9358304297328688,0.15857288037166087,ok,conversation_trace,0.1,0,189924,40000
300,gbm_plus_context,18950,303200,0.16820250659630606,13776,220416,0.7182682623646938,0.7170253671345677,0.7177177376772431,0.02003484320557491,13776,0.9358304297328688,0.15857288037166087,ok,conversation_trace,0.1,0,189924,40000
300,linear,18950,303200,0.16820250659630606,13776,220416,0.7426403872501429,0.7421483172384894,0.7413400581926607,0.021268873403019743,13776,0.9358304297328688,0.15857288037166087,ok,conversation_trace,0.1,0,189924,40000
300,recency,18950,303200,0.16820250659630606,13776,220416,0.6998720659087403,0.6988513857741139,0.7008596532044188,0.014518002322880372,13776,0.9358304297328688,0.15857288037166087,ok,conversation_trace,0.1,0,189924,40000
600,arm,15280,244480,0.21026259816753926,9904,158464,0.6311913846121304,0.6314630025821644,0.625696415939215,0.10753231017770598,9904,0.968497576736672,0.1988148727786753,ok,conversation_trace,0.1,0,189924,40000
