trace,population,population_cell,split,horizon_seconds,target,model,model_cell,scoring,metric,rows,groups,prevalence,pooled_metric,within_decision_micro,within_decision_macro,decisions_scored,decisions_constant_label,decisions_constant_label_share,evicted_lowest_label_rate
synthetic_trace,candidates_lfu_train,"l1=0.02,l2x1",train,300.0,next_use,B,l1=0.02,raw,spearman,162776.0,9589.0,0.4382955718287708,0.26860698959086876,nan,0.21406155413860517,9564.0,25.0,0.0026071540306601315,0.762748983209928
synthetic_trace,candidates_lfu_train,"l1=0.02,l2x4",train,300.0,next_use,B,l1=0.02,raw,spearman,162381.0,9570.0,0.4279995812317944,0.2472102918723412,nan,0.1445102405549513,9562.0,8.0,0.0008359456635318704,0.7818181818181819
synthetic_trace,candidates_lru,"l1=0.02,l2x1",test,300.0,next_use,B,l1=0.02,raw,spearman,92217.0,5430.0,0.6701150547079172,0.15581088849134803,nan,0.13306942142722902,5430.0,0.0,0.0,0.3228360957642726
synthetic_trace,candidates_lru,"l1=0.02,l2x4",test,300.0,next_use,B,l1=0.02,raw,spearman,97846.0,5764.0,0.6465466140670032,0.1765253115262591,nan,0.16571957259159759,5764.0,0.0,0.0,0.33639833448993756
synthetic_trace,candidates_lru_train,"l1=0.02,l2x1",train,300.0,next_use,B,l1=0.02,raw,spearman,162234.0,9559.0,0.36487419406536237,0.23534768267406178,nan,0.1792890003860133,9511.0,48.0,0.005021445757924469,0.8534365519405795
synthetic_trace,candidates_lru_train,"l1=0.02,l2x4",train,300.0,next_use,B,l1=0.02,raw,spearman,168037.0,9900.0,0.36183102530990197,0.1881173423367873,nan,0.1518491018726059,9882.0,18.0,0.0018181818181818182,0.8394949494949495
synthetic_trace,observed,,test,300.0,next_use,B,l1=0.02,raw,spearman,928443.0,24.0,0.3060230945787733,0.12964195699941816,nan,0.12663676137405505,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.02,test,300.0,next_use,B,l1=0.02,raw,spearman,14982.0,0.0,0.6786143372046456,0.10199489185012374,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.0025,l2x1",test,300.0,next_use,C_lfu,"l1=0.0025,l2x1",raw,spearman,87298.0,5137.0,0.9237897775435864,0.12475742001337464,nan,0.09562983484028678,5132.0,5.0,0.0009733307377846992,0.2575433132178314
synthetic_trace,candidates_lfu_train,"l1=0.0025,l2x1",train,300.0,next_use,C_lfu,"l1=0.0025,l2x1",raw,spearman,150691.0,8875.0,0.2675873144381549,0.6075140907124991,nan,0.47260718893045156,6494.0,2381.0,0.2682816901408451,0.9347605633802817
synthetic_trace,candidates_lru,"l1=0.0025,l2x1",test,300.0,next_use,C_lfu,"l1=0.0025,l2x1",raw,spearman,86974.0,5121.0,0.691769954239198,0.03841325002856497,nan,-0.04992912580888453,4748.0,373.0,0.0728373364577231,0.4182776801405975
synthetic_trace,candidates_lru_train,"l1=0.0025,l2x1",train,300.0,next_use,C_lfu,"l1=0.0025,l2x1",raw,spearman,150144.0,8847.0,0.36385736359761295,0.06715131745835513,nan,0.09683373300401718,6689.0,2158.0,0.24392449417881767,0.7843336724313327
synthetic_trace,observed,,test,300.0,next_use,C_lfu,"l1=0.0025,l2x1",raw,spearman,928443.0,24.0,0.3060230945787733,-0.373854740925059,nan,-0.3734842747030294,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.0025,test,300.0,next_use,C_lfu,"l1=0.0025,l2x1",raw,spearman,15460.0,0.0,0.6950194049159121,0.013641704112779212,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.0025,l2x4",test,300.0,next_use,C_lfu,"l1=0.0025,l2x4",raw,spearman,88064.0,5186.0,0.8781227289244186,0.23751932835575337,nan,0.1661898990679162,5186.0,0.0,0.0,0.3478596220593907
synthetic_trace,candidates_lfu_train,"l1=0.0025,l2x4",train,300.0,next_use,C_lfu,"l1=0.0025,l2x4",raw,spearman,154428.0,9099.0,0.4300903981143316,0.5553148651225279,nan,0.48384209827612107,9065.0,34.0,0.0037366743598197605,0.9273546543576218
synthetic_trace,candidates_lru,"l1=0.0025,l2x4",test,300.0,next_use,C_lfu,"l1=0.0025,l2x4",raw,spearman,88059.0,5185.0,0.6939324770892242,-0.1012814740805629,nan,-0.0607977550230765,5185.0,0.0,0.0,0.16682738669238187
synthetic_trace,candidates_lru_train,"l1=0.0025,l2x4",train,300.0,next_use,C_lfu,"l1=0.0025,l2x4",raw,spearman,153799.0,9062.0,0.37030149740895585,0.19962551588125646,nan,0.17502137961426664,8876.0,186.0,0.020525270359743986,0.8389980136835136
synthetic_trace,observed,,test,300.0,next_use,C_lfu,"l1=0.0025,l2x4",raw,spearman,928443.0,24.0,0.3060230945787733,-0.0030784879133604432,nan,-0.007520364313888556,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.0025,test,300.0,next_use,C_lfu,"l1=0.0025,l2x4",raw,spearman,15460.0,0.0,0.6950194049159121,-0.11990946245121202,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.01,l2x1",test,300.0,next_use,C_lfu,"l1=0.01,l2x1",raw,spearman,90308.0,5319.0,0.8713181556451256,0.21176623430048128,nan,0.13436037062863726,5319.0,0.0,0.0,0.3008084226358338
synthetic_trace,candidates_lfu_train,"l1=0.01,l2x1",train,300.0,next_use,C_lfu,"l1=0.01,l2x1",raw,spearman,157533.0,9282.0,0.42780877657379723,0.563540321829653,nan,0.4821409084665835,9253.0,29.0,0.0031243266537384186,0.9340659340659341
synthetic_trace,candidates_lru,"l1=0.01,l2x1",test,300.0,next_use,C_lfu,"l1=0.01,l2x1",raw,spearman,91017.0,5360.0,0.6856521309205973,-0.08993384445111932,nan,-0.05787637903249669,5357.0,3.0,0.0005597014925373135,0.1873134328358209
